Category,Sub category,Activity,Comments,cat_num,sub_num
Areas of culturally significant habitats and communities,Beaches,Beaches,Beaches,1,1
Areas of culturally significant habitats and communities,Estuaries,Estuaries,Estuaries,1,2
Areas of culturally significant habitats and communities,Granite headlands,Granite headlands,Granite headlands,1,3
Areas of culturally significant habitats and communities,Islands,Islands,Islands,1,4
Areas of culturally significant habitats and communities,Coastal sand dunes,Coastal sand dunes,Coastal sand dunes,1,5
Areas of culturally significant habitats and communities,Intertidal reefs,Intertidal reefs,Intertidal reefs,1,6
Areas of culturally significant habitats and communities,Subtidal reefs,Subtidal reefs,subtidal reefs,1,7
Areas of culturally significant habitats and communities,Freshwater places,Rivers,Freshwater places - Rivers,1,8
Areas of culturally significant habitats and communities,Freshwater places,Creeks,Freshwater places - Creeks,1,8
Areas of culturally significant habitats and communities,Freshwater places,Springs,Freshwater places - Springs,1,8
Areas of culturally significant habitats and communities,Gnammas,Gnammas,Gnammas,1,9
Places for culturally significant animals,Whales and dolphins,Southern right whale,Whales and dolphins - Southern right whale,2,1
Places for culturally significant animals,Whales and dolphins,Orcas,Whales and dolphins - Orcas,2,1
Places for culturally significant animals,Whales and dolphins,Other whales,Whales and dolphins - Other whales,2,1
Places for culturally significant animals,Whales and dolphins,Dolphins,Whales and dolphins - Dolphins,2,1
Places for culturally significant animals,Seals and sea lions,Australian sea lion,Seals and sea lions - Australian sea lion,2,2
Places for culturally significant animals,Seals and sea lions,New Zealand fur seal,Seals and sea lions - New Zealand fur seal,2,2
Places for culturally significant animals,Seals and sea lions,Long-nosed fur seal,Seals and sea lions - Long-nosed fur seal,2,2
Places for culturally significant animals,Sharks and rays,Great white shark,Sharks and rays - Great white shark,2,3
Places for culturally significant animals,Sharks and rays,Tiger shark,Sharks and rays - Tiger shark,2,3
Places for culturally significant animals,Sharks and rays,Bronze whaler,Sharks and rays - Bronze Whaler,2,3
Places for culturally significant animals,Sharks and rays,Rays,Sharks and rays - Rays,2,3
Places for culturally significant animals,Finfish,Salmon,Finfish - Salmon,2,4
Places for culturally significant animals,Finfish,Mullet,Finfish - Mullet,2,4
Places for culturally significant animals,Finfish,Groper,Finfish - Groper,2,4
Places for culturally significant animals,Finfish,Snapper,Finfish - Snapper,2,4
Places for culturally significant animals,Finfish,Bream,Finfish - Bream,2,4
Places for culturally significant animals,Finfish,"Seadragons (Leafy, weedy, ruby)","Finfish - Seadragons (Leafy, weedy, ruby)",2,4
Places for culturally significant animals,Shellfish and molluscs,Squid,Shellfish and molluscs - Squid,2,5
Places for culturally significant animals,Shellfish and molluscs,Abalone,Shellfish and molluscs - Abalone,2,5
Places for culturally significant animals,Shellfish and molluscs,Pipis,Shellfish and molluscs - Pipis,2,5
Places for culturally significant animals,Seabirds and shorebirds,Sea eagle,Seabirds and shorebirds - Sea eagle,2,6
Places for culturally significant animals,Seabirds and shorebirds,Wedge-tailed eagle,Seabirds and shorebirds - Wedge-tailed eagle,2,6
Places for culturally significant animals,Seabirds and shorebirds,Penguin,Seabirds and shorebirds - Penguin,2,6
Places for culturally significant animals,Seabirds and shorebirds,Shearwaters (flesh-footed and short-tail),Seabirds and shorebirds - Shearwaters (flesh-footed and short-tail),2,6
Places for culturally significant animals,Seabirds and shorebirds,Gnow (malleefowl),Seabirds and shorebirds - Gnow (malleefowl),2,6
Places for culturally significant animals,Seabirds and shorebirds,Australasian Bittern,Seabirds and shorebirds - Australasian Bittern,2,6
Places for culturally significant animals,Seabirds and shorebirds,Migratory birds,Seabirds and shorebirds - Migratory birds,2,6
Places important for customary activities,Hunting ground,,Hunting ground,3,1
Places important for customary activities,Fishing area,,Fishing area,3,2
Places important for customary activities,Area for preparing and consuming food,,Area for preparing and consuming food,3,3
Places important for customary activities,"Area for harvesting plants, seeds and fruits",,"Area for harvesting plants, seeds and fruits",3,4
Places important for customary activities,Area for preparing medicine,,Area for preparing medicine,3,5
Places important for customary activities,Area for using 'right way' fire or cultural burning,,Area for using 'right way' fire or cultural burning,3,6
Places important for customary activities,Area for collecting water,,Area for collecting water,3,7
Places important for customary activities,Area for ceremonies and passing on traditional knowledge,,Area for ceremonies and passing on traditional knowledge,3,8
Places important for customary activities,Area visited to keep country healthy,,Area visited to keep country healthy,3,9
Places important for customary activities,Estuarine/creek system traditionally opened (sand bar removed) to enable tidal flushing,,,3,10
